grau,nome,cidade,código,conceito,situação,siglaIes,modalidade,idPrograma,idModalidade,programaEmRede,idAreaAvaliacao,nomeAreaAvaliacao,idAreaConhecimento,nomeAreaConhecimento,idModalidadeEnsino,nomeModalidadeEnsino,idGrandeAreaConhecimento,nomeGrandeAreaConhecimento
Mestrado/Doutorado,ADMINISTRAÇÃO,Salvador,28001010020P3,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,374,1,0,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",75,ADMINISTRAÇÃO,1,Educação Presencial,6,CIÊNCIAS SOCIAIS APLICADAS
Mestrado/Doutorado,Estudos Literários,Feira de Santana,28002016003P4,5,EM FUNCIONAMENTO,UEFS,ACADÊMICO,398,1,0,41,LINGUíSTICA E LITERATURA,90,LETRAS,1,Educação Presencial,8,"LINGÜÍSTICA, LETRAS E ARTES"
Mestrado/Doutorado,Linguística,Vitória da Conquista,28006011011P2,5,EM FUNCIONAMENTO,UESB,ACADÊMICO,204563,1,0,41,LINGUíSTICA E LITERATURA,89,LINGÜÍSTICA,1,Educação Presencial,8,"LINGÜÍSTICA, LETRAS E ARTES"
Mestrado,Agronomia: Horticultura Irrigada,"Paulo Afonso, Senhor de Bonfim, Alagoinhas",28005015005P6,4,EM FUNCIONAMENTO,UNEB,ACADÊMICO,202644,1,0,42,CIÊNCIAS AGRÁRIAS I,60,AGRONOMIA,1,Educação Presencial,5,CIÊNCIAS AGRÁRIAS
Mestrado,ENGENHARIA CIVIL E AMBIENTAL,Feira de Santana,28002016008P6,3,EM FUNCIONAMENTO,UEFS,ACADÊMICO,202524,1,0,10,ENGENHARIAS I,26,ENGENHARIA CIVIL,1,Educação Presencial,3,ENGENHARIAS
Mestrado/Doutorado,EDUCAÇÃO,Salvador,28001010001P9,6,EM FUNCIONAMENTO,UFBA,ACADÊMICO,356,1,0,38,EDUCAÇÃO,86,EDUCAÇÃO,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado/Doutorado,CIÊNCIAS DA SAÚDE,Salvador,28001010072P3,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,204196,1,0,15,MEDICINA I,51,MEDICINA,1,Educação Presencial,4,CIÊNCIAS DA SAÚDE
Mestrado/Doutorado,MODELAGEM EM CIÊNCIAS DA TERRA E DO AMBIENTE,Feira de Santana,28002016005P7,4,EM FUNCIONAMENTO,UEFS,ACADÊMICO,152260,1,0,49,CIÊNCIAS AMBIENTAIS,1352,CIÊNCIAS AMBIENTAIS,1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado/Doutorado,CIÊNCIAS SOCIAIS,Salvador,28001010023P2,5,EM FUNCIONAMENTO,UFBA,ACADÊMICO,377,1,0,34,SOCIOLOGIA,69,SOCIOLOGIA,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado/Doutorado,ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE,ilhéus ,28007018011P9,6,EM FUNCIONAMENTO,UESC,ACADÊMICO,204045,1,0,7,BIODIVERSIDADE,17,ECOLOGIA,1,Educação Presencial,2,CIÊNCIAS BIOLÓGICAS
Mestrado/Doutorado,LINGUAGENS E REPRESENTAÇÕES,ilhéus ,28007018009P4,4,EM FUNCIONAMENTO,UESC,ACADÊMICO,203754,1,0,41,LINGUíSTICA E LITERATURA,90,LETRAS,1,Educação Presencial,8,"LINGÜÍSTICA, LETRAS E ARTES"
Mestrado/Doutorado,CIÊNCIA DE ALIMENTOS,Salvador,28001010057P4,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,202629,1,0,25,CIÊNCIA DE ALIMENTOS,260,CIÊNCIA DE ALIMENTOS,1,Educação Presencial,5,CIÊNCIAS AGRÁRIAS
Mestrado Profissional,Educação do Campo,Amargosa,28022017010P4,3,EM FUNCIONAMENTO,UFRB,PROFISSIONAL,205131,2,0,38,EDUCAÇÃO,1302,EDUCAÇÃO RURAL,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado/Doutorado,CIÊNCIA ANIMAL NOS TRÓPICOS,Salvador,28001010036P7,5,EM FUNCIONAMENTO,UFBA,ACADÊMICO,386,1,0,24,MEDICINA VETERINÁRIA,47,MEDICINA VETERINÁRIA,1,Educação Presencial,5,CIÊNCIAS AGRÁRIAS
