"Territorio_ID","Territorio","Municipio"
"1","IRECÊ","América Dourada"
"1","IRECÊ","Barra do Mendes"
"1","IRECÊ","Barro Alto"
"1","IRECÊ","Cafarnaum"
"1","IRECÊ","Canarana"
"1","IRECÊ","Central"
"1","IRECÊ","Gentio do Ouro"
"1","IRECÊ","Ibipeba"
"1","IRECÊ","Ibititá"
"1","IRECÊ","Ipupiara"
"1","IRECÊ","Irecê"
"1","IRECÊ","Itaguaçu da Bahia"
"1","IRECÊ","João Dourado"
"1","IRECÊ","Jussara"
"1","IRECÊ","Lapão"
"1","IRECÊ","Mulungu do Morro"
"1","IRECÊ","Presidente Dutra"
"1","IRECÊ","São Gabriel"
"1","IRECÊ","Uibaí"
"1","IRECÊ","Xique-Xique"
"2","VELHO CHICO","Barra"
"2","VELHO CHICO","Bom Jesus da Lapa"
"2","VELHO CHICO","Brotas de Macaúbas"
"2","VELHO CHICO","Carinhanha"
"2","VELHO CHICO","Feira da Mata"
"2","VELHO CHICO","Ibotirama"
"2","VELHO CHICO","Igaporã"
"2","VELHO CHICO","Malhada"
"2","VELHO CHICO","Matina"
"2","VELHO CHICO","Morpará"
"2","VELHO CHICO","Muquém do São Francisco"
"2","VELHO CHICO","Oliveira dos Brejinhos"
"2","VELHO CHICO","Paratinga"
"2","VELHO CHICO","Riacho de Santana"
"2","VELHO CHICO","Serra do Ramalho"
"2","VELHO CHICO","Sítio do Mato"
"3","CHAPADA DIAMANTINA","Abaíra"
"3","CHAPADA DIAMANTINA","Andaraí"
"3","CHAPADA DIAMANTINA","Barra da Estiva"
"3","CHAPADA DIAMANTINA","Boninal"
"3","CHAPADA DIAMANTINA","Bonito"
"3","CHAPADA DIAMANTINA","Ibicoara"
"3","CHAPADA DIAMANTINA","Ibitiara"
"3","CHAPADA DIAMANTINA","Iraquara"
"3","CHAPADA DIAMANTINA","Itaetê"
"3","CHAPADA DIAMANTINA","Jussiape"
"3","CHAPADA DIAMANTINA","Lençóis"
"3","CHAPADA DIAMANTINA","Marcionílio Souza"
"3","CHAPADA DIAMANTINA","Morro do Chapéu"
"3","CHAPADA DIAMANTINA","Mucugê"
"3","CHAPADA DIAMANTINA","Nova Redenção"
"3","CHAPADA DIAMANTINA","Novo Horizonte"
"3","CHAPADA DIAMANTINA","Palmeiras"
"3","CHAPADA DIAMANTINA","Piatã"
"3","CHAPADA DIAMANTINA","Rio de Contas"
"3","CHAPADA DIAMANTINA","Seabra"
"3","CHAPADA DIAMANTINA","Souto Soares"
"3","CHAPADA DIAMANTINA","Utinga"
"3","CHAPADA DIAMANTINA","Wagner"
"4","SISAL","Araci"
"4","SISAL","Barrocas"
"4","SISAL","Biritinga"
"4","SISAL","Candeal"
"4","SISAL","Cansanção"
"4","SISAL","Conceição do Coité"
"4","SISAL","Ichu"
"4","SISAL","Itiúba"
"4","SISAL","Lamarão"
"4","SISAL","Monte Santo"
"4","SISAL","Nordestina"
"4","SISAL","Queimadas"
"4","SISAL","Quijingue"
"4","SISAL","Retirolândia"
"4","SISAL","Santa Luz"
"4","SISAL","São Domingos"
"4","SISAL","Serrinha"
"4","SISAL","Teofilândia"
"4","SISAL","Tucano"
"4","SISAL","Valente"
"5","LITORAL SUL","Almadina"
"5","LITORAL SUL","Arataca"
"5","LITORAL SUL","Aurelino Leal"
"5","LITORAL SUL","Barro Preto"
"5","LITORAL SUL","Buerarema"
"5","LITORAL SUL","Camacã"
"5","LITORAL SUL","Canavieiras"
"5","LITORAL SUL","Coaraci"
"5","LITORAL SUL","Floresta Azul"
"5","LITORAL SUL","Ibicaraí"
"5","LITORAL SUL","Ibirapitanga"
"5","LITORAL SUL","Ilhéus"
"5","LITORAL SUL","Itabuna"
"5","LITORAL SUL","Itacaré"
