Código do Programa,Programa,Nome,Área de Concentração,Data de Início,Data de Fim
41006011002P0,ADMINISTRAÇÃO,GESTÃO ESTRATÉGICA E INTERNACIONALIZAÇÃO DE ORGANIZAÇÕES,Estratégia e Competitividade das Organizações,01/01/2017,-
41006011002P0,ADMINISTRAÇÃO,GESTÃO DA INOVAÇÃO E DE OPERAÇÕES,Estratégia e Competitividade das Organizações,01/01/2017,-
41006011003P7,ENGENHARIA AMBIENTAL,TECNOLOGIAS E GESTÃO DE RESÍDUOS,TECNOLOGIA E GESTÃO AMBIENTAL,01/01/2013,-
41006011003P7,ENGENHARIA AMBIENTAL,GESTÃO DE AMBIENTES NATURAIS E CONSTRUÍDOS,TECNOLOGIA E GESTÃO AMBIENTAL,01/01/2013,-
41006011004P3,EDUCAÇÃO,"FORMAÇÃO DE PROFESSORES, POLÍTICAS E PRÁTICAS EDUCATIVAS",EDUCAÇÃO,12/04/2017,-
41006011004P3,EDUCAÇÃO,"LINGUAGENS, ARTE E EDUCAÇÃO",EDUCAÇÃO,12/04/2017,-
41006011004P3,EDUCAÇÃO,"EDUCAÇÃO, DINÂMICAS SOCIAIS E DIVERSIDADES",EDUCAÇÃO,01/01/2023,-
41006011005P0,QUÍMICA,"DESENVOLVIMENTO, MELHORAMENTO, PROCESSAMENTO E APLICAÇÃO DE MATERIAIS E NANOMATERIAIS",QUÍMICA,01/01/2023,-
41006011005P0,QUÍMICA,VALORIZAÇÃO DE BIOMASSA E RESÍDUOS E TRATAMENTO DE EFLUENTES,QUÍMICA,01/01/2023,-
41006011005P0,QUÍMICA,DESENVOLVIMENTO E AVALIAÇÃO DE MÉTODOS ANALÍTICOS.,QUÍMICA,01/01/2023,-
41006011005P0,QUÍMICA,"SÍNTESE, ISOLAMENTO, CARACTERIZAÇÃO E AVALIAÇÃO DAS PROPRIEDADES DE COMPOSTOS NATURAIS E SINTÉTICOS",QUÍMICA,01/01/2023,-
41006011006P6,DESENVOLVIMENTO REGIONAL,DINAMICAS SOCIOECONOMICAS NO TERRITORIO,DESENVOLVIMENTO REGIONAL SUSTENTAVEL,01/01/2000,-
