docente,categoria,codigo_programa
ADRIANO QUEIROZ SILVA,COLABORADOR,28025016001P4
ALBERT ICKSANG KO,VISITANTE,28025016001P4
ARTUR TRANCOSO LOPO DE QUEIROZ,PERMANENTE,28025016001P4
BRUNO SOLANO DE FREITAS SOUZA,PERMANENTE,28025016001P4
CASSIO SANTANA MEIRA,PERMANENTE,28025016001P4
CLAUDIA IDA BRODSKYN,PERMANENTE,28025016001P4
CRISTIANE FLORA VILLARREAL,PERMANENTE,28025016001P4
DANIEL PEREIRA BEZERRA,PERMANENTE,28025016001P4
DARIZY FLAVIA SILVA AMORIM DE VASCONCELOS,COLABORADOR,28025016001P4
DEBORAH BITTENCOURT MOTHE,PERMANENTE,28025016001P4
DIOGO RODRIGO DE MAGALHAES MOREIRA,PERMANENTE,28025016001P4
EDSON DUARTE MOREIRA JUNIOR,PERMANENTE,28025016001P4
FRED LUCIANO NEVES SANTOS,PERMANENTE,28025016001P4
GUILHERME DE SOUSA RIBEIRO,PERMANENTE,28025016001P4
HELENITA COSTA QUADROS,COLABORADOR,28025016001P4
HENRIQUE RODRIGUES MARCELINO,PERMANENTE,28025016001P4
ISADORA CRISTINA DE SIQUEIRA,PERMANENTE,28025016001P4
IVANA CRISTINA DE HOLANDA CUNHA BARRETO,VISITANTE,28025016001P4
JAIME RIBEIRO FILHO,COLABORADOR,28025016001P4
JOICE NEVES REIS PEDREIRA,PERMANENTE,28025016001P4
JULIANA PERRONE BEZERRA DE MENEZES FULLAM,PERMANENTE,28025016001P4
KARINE ARAUJO DAMASCENO,COLABORADOR,28025016001P4
LEONARDO PAIVA FARIAS,PERMANENTE,28025016001P4
LUCIANO KALABRIC SILVA,PERMANENTE,28025016001P4
LUIZ ODORICO MONTEIRO DE ANDRADE,VISITANTE,28025016001P4
MANUELA DA SILVA SOLCA,COLABORADOR,28025016001P4
MARIA DA CONCEICAO CHAGAS DE ALMEIDA,PERMANENTE,28025016001P4
MARIA FERNANDA RIOS GRASSI,PERMANENTE,28025016001P4
MARIANA ARAUJO PEREIRA,COLABORADOR,28025016001P4
MARILDA DE SOUZA GONCALVES,PERMANENTE,28025016001P4
MILENA BOTELHO PEREIRA SOARES,PERMANENTE,28025016001P4
MITERMAYER GALVAO DOS REIS,PERMANENTE,28025016001P4
NATALIA MACHADO TAVARES,PERMANENTE,28025016001P4
PABLO IVAN PEREIRA RAMOS,PERMANENTE,28025016001P4
PABLO RAFAEL SILVEIRA OLIVEIRA,COLABORADOR,28025016001P4
PATRICIA SAMPAIO TAVARES VERAS,PERMANENTE,28025016001P4
RICARDO RICCIO OLIVEIRA,PERMANENTE,28025016001P4
THEOLIS COSTA BARBOSA BESSA,COLABORADOR,28025016001P4
VINICIUS PINTO COSTA ROCHA,COLABORADOR,28025016001P4
BRUNO DE BEZERRIL ANDRADE,PERMANENTE,UFBA/FIOCRUZ
BRUNO SOLANO DE FREITAS SOUZA,PERMANENTE,UFBA/FIOCRUZ
CAMILA INDIANI DE OLIVEIRA,PERMANENTE,UFBA/FIOCRUZ
FRED LUCIANO NEVES SANTOS,PERMANENTE,UFBA/FIOCRUZ
ISADORA CRISTINA DE SIQUEIRA,PERMANENTE,UFBA/FIOCRUZ
JULIANA PERRONE BEZERRA DE MENEZES FULLAM,PERMANENTE,UFBA/FIOCRUZ
LEONARDO PAIVA FARIAS,PERMANENTE,UFBA/FIOCRUZ
MILENA BOTELHO PEREIRA SOARES,PERMANENTE,UFBA/FIOCRUZ
NATALIA MACHADO TAVARES,PERMANENTE,UFBA/FIOCRUZ
PATRICIA SAMPAIO TAVARES VERAS,PERMANENTE,UFBA/FIOCRUZ
RICARDO RICCIO OLIVEIRA,PERMANENTE,UFBA/FIOCRUZ
CARLOS ANTONIO DE SOUZA TELES SANTOS,COLABORADOR,28025016002P0
CINTHYA STERNBERG,COLABORADOR,28025016002P0
CLARISSA ARAUJO GURGEL ROCHA,PERMANENTE,28025016002P0
DARIZY FLAVIA SILVA AMORIM DE VASCONCELOS,PERMANENTE,28025016002P0
DEBORAH BITTENCOURT MOTHE,PERMANENTE,28025016002P0
EDSON DUARTE MOREIRA JUNIOR,PERMANENTE,28025016002P0
EDVAN DE QUEIROZ CRUSOE,PERMANENTE,28025016002P0
EUGENIA TERRA GRANADO PINA,PERMANENTE,28025016002P0
GEORGE MARIANE SOARES SANTANA,PERMANENTE,28025016002P0
JENNIFER BRAATHEN SALGUEIRO,PERMANENTE,28025016002P0
KARINE ARAUJO DAMASCENO,PERMANENTE,28025016002P0
LILA TEIXEIRA DE ARAUJO JANAHU,PERMANENTE,28025016002P0
LUIZ ANTONIO RODRIGUES DE FREITAS,PERMANENTE,28025016002P0
MARIA DA CONCEICAO CHAGAS DE ALMEIDA,PERMANENTE,28025016002P0
MARIA ELIZANGELA RAMOS JUNQUEIRA,COLABORADOR,28025016002P0
MARIA LOURDES FARRE VALLVE,PERMANENTE,28025016002P0
MARTHA SILVIA MARTINEZ SILVEIRA,PERMANENTE,28025016002P0
NELZAIR ARAUJO VIANNA,PERMANENTE,28025016002P0
PABLO DE MOURA SANTOS,COLABORADOR,28025016002P0
PATRICIA SAMPAIO TAVARES VERAS,PERMANENTE,28025016002P0
RICARDO RICCIO OLIVEIRA,PERMANENTE,28025016002P0
THEOLIS COSTA BARBOSA BESSA,PERMANENTE,28025016002P0
WILDO NAVEGANTES DE ARAUJO,COLABORADOR,28025016002P0
